date,daily_avg_cases
2022-01-01,162960.57142857142
2022-01-02,162960.57142857142
2022-01-03,246602.42857142858
2022-01-04,246602.42857142858
2022-01-05,246602.42857142858
2022-01-06,246602.42857142858
2022-01-07,246602.42857142858
2022-01-08,246602.42857142858
2022-01-09,246602.42857142858
2022-01-10,280273.14285714284
2022-01-11,280273.14285714284
2022-01-12,280273.14285714284
2022-01-13,280273.14285714284
2022-01-14,280273.14285714284
2022-01-15,280273.14285714284
2022-01-16,280273.14285714284
2022-01-17,345291.85714285716
2022-01-18,345291.85714285716
2022-01-19,345291.85714285716
2022-01-20,345291.85714285716
2022-01-21,345291.85714285716
2022-01-22,345291.85714285716
2022-01-23,345291.85714285716
2022-01-24,332767.71428571426
2022-01-25,332767.71428571426
2022-01-26,332767.71428571426
2022-01-27,332767.71428571426
2022-01-28,332767.71428571426
2022-01-29,332767.71428571426
2022-01-30,332767.71428571426
2022-01-31,243941.14285714287
2022-02-01,243941.14285714287
2022-02-02,243941.14285714287
2022-02-03,243941.14285714287
2022-02-04,243941.14285714287
2022-02-05,243941.14285714287
2022-02-06,243941.14285714287
2022-02-07,136948.42857142858
2022-02-08,136948.42857142858
2022-02-09,136948.42857142858
2022-02-10,136948.42857142858
2022-02-11,136948.42857142858
2022-02-12,136948.42857142858
2022-02-13,136948.42857142858
2022-02-14,80849.57142857143
2022-02-15,80849.57142857143
2022-02-16,80849.57142857143
2022-02-17,80849.57142857143
2022-02-18,80849.57142857143
2022-02-19,80849.57142857143
2022-02-20,80849.57142857143
2022-02-21,56221.28571428572
2022-02-22,56221.28571428572
2022-02-23,56221.28571428572
2022-02-24,56221.28571428572
2022-02-25,56221.28571428572
2022-02-26,56221.28571428572
2022-02-27,56221.28571428572
2022-02-28,49754.857142857145
2022-03-01,49754.857142857145
2022-03-02,49754.857142857145
2022-03-03,49754.857142857145
2022-03-04,49754.857142857145
2022-03-05,49754.857142857145
2022-03-06,49754.857142857145
2022-03-07,59889.71428571428
2022-03-08,59889.71428571428
2022-03-09,59889.71428571428
2022-03-10,59889.71428571428
2022-03-11,59889.71428571428
2022-03-12,59889.71428571428
2022-03-13,59889.71428571428
2022-03-14,83761.14285714286
2022-03-15,83761.14285714286
2022-03-16,83761.14285714286
2022-03-17,83761.14285714286
2022-03-18,83761.14285714286
2022-03-19,83761.14285714286
2022-03-20,83761.14285714286
2022-03-21,121713.28571428571
2022-03-22,121713.28571428571
2022-03-23,121713.28571428571
2022-03-24,121713.28571428571
2022-03-25,121713.28571428571
2022-03-26,121713.28571428571
2022-03-27,121713.28571428571
2022-03-28,137051.14285714287
2022-03-29,137051.14285714287
2022-03-30,137051.14285714287
2022-03-31,137051.14285714287
2022-04-01,137051.14285714287
2022-04-02,137051.14285714287
2022-04-03,137051.14285714287
2022-04-04,132624.7142857143
2022-04-05,132624.7142857143
2022-04-06,132624.7142857143
2022-04-07,132624.7142857143
2022-04-08,132624.7142857143
2022-04-09,132624.7142857143
2022-04-10,132624.7142857143
2022-04-11,117491.14285714286
2022-04-12,117491.14285714286
2022-04-13,117491.14285714286
2022-04-14,117491.14285714286
2022-04-15,117491.14285714286
2022-04-16,117491.14285714286
2022-04-17,117491.14285714286
2022-04-18,77023.0
2022-04-19,77023.0
2022-04-20,77023.0
2022-04-21,77023.0
2022-04-22,77023.0
2022-04-23,77023.0
2022-04-24,77023.0
2022-04-25,53787.142857142855
2022-04-26,53787.142857142855
2022-04-27,53787.142857142855
2022-04-28,53787.142857142855
2022-04-29,53787.142857142855
2022-04-30,53787.142857142855
2022-05-01,53787.142857142855
2022-05-02,37846.857142857145
2022-05-03,37846.857142857145
2022-05-04,37846.857142857145
2022-05-05,37846.857142857145
2022-05-06,37846.857142857145
2022-05-07,37846.857142857145
2022-05-08,37846.857142857145
2022-05-09,30959.285714285714
2022-05-10,30959.285714285714
2022-05-11,30959.285714285714
2022-05-12,30959.285714285714
2022-05-13,30959.285714285714
2022-05-14,30959.285714285714
2022-05-15,30959.285714285714
2022-05-16,23177.0
2022-05-17,23177.0
2022-05-18,23177.0
2022-05-19,23177.0
2022-05-20,23177.0
2022-05-21,23177.0
2022-05-22,23177.0
2022-05-23,16193.57142857143
2022-05-24,16193.57142857143
2022-05-25,16193.57142857143
2022-05-26,16193.57142857143
2022-05-27,16193.57142857143
2022-05-28,16193.57142857143
2022-05-29,16193.57142857143
2022-05-30,21153.285714285714
2022-05-31,21153.285714285714
2022-06-01,21153.285714285714
2022-06-02,21153.285714285714
2022-06-03,21153.285714285714
2022-06-04,21153.285714285714
2022-06-05,21153.285714285714
2022-06-06,27687.571428571428
2022-06-07,27687.571428571428
2022-06-08,27687.571428571428
2022-06-09,27687.571428571428
2022-06-10,27687.571428571428
2022-06-11,27687.571428571428
2022-06-12,27687.571428571428
2022-06-13,42561.0
2022-06-14,42561.0
2022-06-15,42561.0
2022-06-16,42561.0
2022-06-17,42561.0
2022-06-18,42561.0
2022-06-19,42561.0
2022-06-20,65243.57142857143
2022-06-21,65243.57142857143
2022-06-22,65243.57142857143
2022-06-23,65243.57142857143
2022-06-24,65243.57142857143
2022-06-25,65243.57142857143
2022-06-26,65243.57142857143
2022-06-27,104512.28571428571
2022-06-28,104512.28571428571
2022-06-29,104512.28571428571
2022-06-30,104512.28571428571
2022-07-01,104512.28571428571
2022-07-02,104512.28571428571
2022-07-03,104512.28571428571
2022-07-04,129138.42857142857
2022-07-05,129138.42857142857
2022-07-06,129138.42857142857
2022-07-07,129138.42857142857
2022-07-08,129138.42857142857
2022-07-09,129138.42857142857
