country,code,date,newCases
Spain,ESP,2022-05-31,11302.9824
Spain,ESP,2022-06-01,11302.9824
Spain,ESP,2022-06-02,11302.9824
Spain,ESP,2022-06-03,11302.9824
Spain,ESP,2022-06-04,11302.9824
Spain,ESP,2022-06-05,11127.9288
Spain,ESP,2022-06-06,11127.9288
Spain,ESP,2022-06-07,11127.9288
Spain,ESP,2022-06-08,11127.9288
Spain,ESP,2022-06-09,11127.9288
Spain,ESP,2022-06-10,11127.9288
Spain,ESP,2022-06-11,11127.9288
Spain,ESP,2022-06-12,11408.64624
Spain,ESP,2022-06-13,11408.64624
Spain,ESP,2022-06-14,11408.64624
Spain,ESP,2022-06-15,11408.64624
Spain,ESP,2022-06-16,11408.64624
Spain,ESP,2022-06-17,11408.64624
Spain,ESP,2022-06-18,11408.64624
Spain,ESP,2022-06-19,13723.49424
Spain,ESP,2022-06-20,13723.49424
Spain,ESP,2022-06-21,13723.49424
Spain,ESP,2022-06-22,13723.49424
Spain,ESP,2022-06-23,13723.49424
Spain,ESP,2022-06-24,13723.49424
Spain,ESP,2022-06-25,13723.49424
Spain,ESP,2022-06-26,18565.66416
Spain,ESP,2022-06-27,18565.66416
Spain,ESP,2022-06-28,18565.66416
Spain,ESP,2022-06-29,18565.66416
Spain,ESP,2022-06-30,18565.66416
Spain,ESP,2022-07-01,18565.66416
