t,t_sd,phi,sampleSize,num_mut,daysPerBin,haplotypes,n_mut_types,binning,date
150,3.7443204647802175,178.3652343750003,250,250,15,239,851,eq_size_250,2022-05-31
157,6.423679076837919,280.41123046875055,400,400,21,387,1184,eq_days_21,2022-06-07
158,1.2140907753080001,105.09677734375018,98,98,7,92,441,eq_days_7,2022-06-08
162,3.5374933399259882,164.26611328125028,243,243,14,231,865,eq_days_14,2022-06-12
163,8.498137062372917,491.2146484375009,650,650,26,634,1593,eq_size_650,2022-06-13
165,1.2682763516736246,361.7008789062505,145,145,7,141,630,eq_days_7,2022-06-15
166,3.554283574351884,467.9916992187509,250,250,13,245,890,eq_size_250,2022-06-16
172,1.4108636360945976,2873.781835937505,285,285,7,283,953,eq_days_7,2022-06-22
175,4.46819211331507,1299.9477539062523,655,655,18,646,1579,eq_size_850,2022-06-25
179,1.5238654651689616,2324.041796875005,336,336,8,333,1036,eq_size_650,2022-06-29
180,0.9839623052646984,1261.417089843752,176,176,4,173,651,eq_size_250,2022-06-30
