t,date,smoothed_phi
87,2022-03-29,456.5950719651927
88,2022-03-30,400.56830495094437
89,2022-03-31,340.764706157811
90,2022-04-01,291.8366704675247
91,2022-04-02,266.05356562701195
92,2022-04-03,270.2177706724539
93,2022-04-04,308.12102158958646
94,2022-04-05,379.98339427104173
95,2022-04-06,478.15388532381616
96,2022-04-07,588.7371843305489
97,2022-04-08,699.375652033229
98,2022-04-09,802.3402095074432
99,2022-04-10,891.8944473319372
100,2022-04-11,961.3877511296951
101,2022-04-12,1001.8316811104368
102,2022-04-13,1002.1958631825173
103,2022-04-14,954.0999283175847
104,2022-04-15,863.5854822286935
105,2022-04-16,759.2113891800575
106,2022-04-17,674.9111743964139
107,2022-04-18,622.8284327898164
108,2022-04-19,593.4314729572941
109,2022-04-20,573.0300379664702
110,2022-04-21,553.9198713825434
111,2022-04-22,535.202503787907
112,2022-04-23,519.8575740217819
113,2022-04-24,510.85956860049305
114,2022-04-25,508.1492131210859
115,2022-04-26,507.8713859906976
116,2022-04-27,503.62887006036
117,2022-04-28,489.20296771618996
118,2022-04-29,463.0249851881886
119,2022-04-30,431.53779015848244
120,2022-05-01,405.21892134211635
121,2022-05-02,390.2589293014713
122,2022-05-03,386.0657443049687
123,2022-05-04,388.3076650192755
124,2022-05-05,390.99689591208397
125,2022-05-06,385.20380313190236
126,2022-05-07,358.9089895828356
127,2022-05-08,312.87237726301623
128,2022-05-09,271.9681572080561
129,2022-05-10,249.36419182682863
130,2022-05-11,238.7289242962426
131,2022-05-12,233.7096599997597
132,2022-05-13,232.27326211214913
133,2022-05-14,234.32427269851306
134,2022-05-15,239.5951914117784
135,2022-05-16,246.55760391001704
136,2022-05-17,252.52003328124005
137,2022-05-18,254.76066719785803
138,2022-05-19,251.41387061998202
139,2022-05-20,241.02788798336212
140,2022-05-21,222.14019710757066
141,2022-05-22,197.071538278979
142,2022-05-23,179.05633936522955
143,2022-05-24,184.90254149803783
144,2022-05-25,221.10664197864
145,2022-05-26,288.3351168282275
146,2022-05-27,384.23274871038865
147,2022-05-28,498.3915236641784
148,2022-05-29,613.1536413916676
149,2022-05-30,712.2584610784178
150,2022-05-31,786.5598945330573
151,2022-06-01,830.8225680200038
152,2022-06-02,834.5272646339762
153,2022-06-03,774.5970510394152
154,2022-06-04,636.9038425242456
155,2022-06-05,472.2871712378377
156,2022-06-06,355.95074420259147
157,2022-06-07,295.80838486639595
158,2022-06-08,264.9348230990113
159,2022-06-09,246.73167213001145
160,2022-06-10,240.0625163337017
161,2022-06-11,248.96923691696125
162,2022-06-12,272.43175708996483
163,2022-06-13,304.82003210343345
164,2022-06-14,342.0716891861845
165,2022-06-15,387.2780730124994
166,2022-06-16,457.7206907314907
167,2022-06-17,596.6405515744333
168,2022-06-18,878.5258894376598
169,2022-06-19,1345.5858200348166
170,2022-06-20,1855.4628207119474
171,2022-06-21,2164.5563390047673
172,2022-06-22,2223.557908544504
173,2022-06-23,2132.9220312593325
174,2022-06-24,1990.3871940944273
175,2022-06-25,1861.5837269091528
176,2022-06-26,1783.6252649811515
177,2022-06-27,1757.9007192467511
178,2022-06-28,1757.4517944679988
179,2022-06-29,1755.670249214328
180,2022-06-30,1742.2481973390104
